driver_id,driver_name,persona,month,category,currency,total_amount,txn_count,avg_amount,min_amount,max_amount
drv_daniel_sg_15,Daniel Goh,firefighter,2024-11,DEBT_REPAY,SGD,65.63,1,65.63,65.63,65.63
drv_daniel_sg_15,Daniel Goh,firefighter,2024-11,DISCRETIONARY,SGD,194.12,5,38.82,23.24,55.85
drv_daniel_sg_15,Daniel Goh,firefighter,2024-11,FOOD_HOUSE,SGD,259.14,3,86.38,79.87,91.99
drv_daniel_sg_15,Daniel Goh,firefighter,2024-11,FOOD_OUT,SGD,258.72,28,9.24,4.73,13.49
drv_daniel_sg_15,Daniel Goh,firefighter,2024-11,HEALTHCARE,SGD,27.22,1,27.22,27.22,27.22
drv_daniel_sg_15,Daniel Goh,firefighter,2024-11,PLATFORM_DEDUCT,SGD,350.9,13,26.99,19.55,37.08
drv_daniel_sg_15,Daniel Goh,firefighter,2024-11,RELIGIOUS_GIVING,SGD,26.97,2,13.48,13.06,13.91
drv_daniel_sg_15,Daniel Goh,firefighter,2024-11,TELECOM,SGD,10.22,2,5.11,4.5,5.72
drv_daniel_sg_15,Daniel Goh,firefighter,2024-11,VEHICLE_FUEL,SGD,227.96,11,20.72,15.32,26.86
drv_daniel_sg_15,Daniel Goh,firefighter,2024-11,VEHICLE_MAINT,SGD,34.68,7,4.95,2.56,8.65
drv_daniel_sg_15,Daniel Goh,firefighter,2024-12,DEBT_REPAY,SGD,301.32,2,150.66,46.83,254.49
drv_daniel_sg_15,Daniel Goh,firefighter,2024-12,DISCRETIONARY,SGD,525.96,15,35.06,12.4,51.83
drv_daniel_sg_15,Daniel Goh,firefighter,2024-12,FOOD_HOUSE,SGD,269.29,4,67.32,55.12,90.03
drv_daniel_sg_15,Daniel Goh,firefighter,2024-12,FOOD_OUT,SGD,516.13,57,9.05,4.68,13.51
drv_daniel_sg_15,Daniel Goh,firefighter,2024-12,HEALTHCARE,SGD,54.6,1,54.6,54.6,54.6
drv_daniel_sg_15,Daniel Goh,firefighter,2024-12,HOUSING,SGD,521.81,1,521.81,521.81,521.81
drv_daniel_sg_15,Daniel Goh,firefighter,2024-12,MOVEMENTS_INTERNAL,SGD,21.61,1,21.61,21.61,21.61
drv_daniel_sg_15,Daniel Goh,firefighter,2024-12,PLATFORM_DEDUCT,SGD,765.01,27,28.33,15.26,45.17
drv_daniel_sg_15,Daniel Goh,firefighter,2024-12,RELIGIOUS_GIVING,SGD,24.09,4,6.02,5.69,6.19
drv_daniel_sg_15,Daniel Goh,firefighter,2024-12,TELECOM,SGD,87.36,11,7.94,1.58,51.54
