driver_id,driver_name,persona,earnings_tier,date,month,iso_week,day_of_week,gross_earnings,platform_fees,incentives,net_earnings,trips,active_hours,online_hours,acceptance_rate,cancellations,earnings_per_hour,earnings_per_trip,currency,is_rest_day,festival_window,note
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-16,2024-11,2024-W46,Saturday,303.82,60.76,9.71,252.77,14,7.4,9.0,0.75,3,34.16,18.05,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-17,2024-11,2024-W46,Sunday,209.68,41.94,0.0,167.74,20,6.1,7.6,0.95,3,27.5,8.39,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-18,2024-11,2024-W47,Monday,197.72,39.54,17.06,175.24,14,10.1,10.9,0.76,2,17.35,12.52,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-19,2024-11,2024-W47,Tuesday,212.53,42.51,0.0,170.02,17,9.0,9.6,0.82,2,18.89,10.0,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-20,2024-11,2024-W47,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-21,2024-11,2024-W47,Thursday,200.13,40.03,0.0,160.1,21,9.8,11.0,0.91,3,16.34,7.62,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-22,2024-11,2024-W47,Friday,106.76,21.35,0.0,85.41,15,10.9,13.7,0.82,0,7.84,5.69,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-23,2024-11,2024-W47,Saturday,258.03,51.61,0.0,206.42,23,10.7,12.1,0.86,0,19.29,8.97,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-24,2024-11,2024-W47,Sunday,104.8,20.96,0.0,83.84,17,6.5,6.9,0.75,2,12.9,4.93,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-25,2024-11,2024-W48,Monday,152.44,30.49,10.14,132.09,17,7.2,9.5,0.82,1,18.35,7.77,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-26,2024-11,2024-W48,Tuesday,187.09,37.42,0.0,149.67,14,6.3,7.4,0.96,0,23.76,10.69,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-27,2024-11,2024-W48,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-28,2024-11,2024-W48,Thursday,227.73,45.55,15.68,197.86,18,11.4,14.1,0.93,3,17.36,10.99,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-29,2024-11,2024-W48,Friday,240.76,48.15,0.0,192.61,12,8.4,9.4,0.91,1,22.93,16.05,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-11-30,2024-11,2024-W48,Saturday,288.38,57.68,0.0,230.7,21,10.8,14.2,0.88,3,21.36,10.99,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-01,2024-12,2024-W48,Sunday,208.01,41.6,11.3,177.71,23,7.6,9.1,0.88,3,23.38,7.73,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-02,2024-12,2024-W49,Monday,168.21,33.64,0.0,134.57,22,7.0,7.5,0.86,0,19.22,6.12,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-03,2024-12,2024-W49,Tuesday,160.74,32.15,0.0,128.59,14,11.2,13.2,0.91,3,11.48,9.19,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-04,2024-12,2024-W49,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-05,2024-12,2024-W49,Thursday,178.03,35.61,0.0,142.42,10,7.8,9.5,0.95,2,18.26,14.24,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-06,2024-12,2024-W49,Friday,198.18,39.64,11.76,170.3,19,10.3,13.3,0.92,2,16.53,8.96,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-07,2024-12,2024-W49,Saturday,297.35,59.47,0.0,237.88,11,9.0,11.7,0.91,3,26.43,21.63,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-08,2024-12,2024-W49,Sunday,238.31,47.66,0.0,190.65,23,10.9,12.7,0.8,3,17.49,8.29,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-09,2024-12,2024-W50,Monday,202.16,40.43,0.0,161.73,11,8.4,9.2,0.74,1,19.25,14.7,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-10,2024-12,2024-W50,Tuesday,167.25,33.45,8.91,142.71,9,6.5,8.1,0.88,2,21.96,15.86,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-11,2024-12,2024-W50,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-12,2024-12,2024-W50,Thursday,175.17,35.03,0.0,140.14,9,10.5,12.7,0.75,3,13.35,15.57,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-13,2024-12,2024-W50,Friday,256.52,51.3,11.58,216.8,16,8.4,8.9,0.95,2,25.81,13.55,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-14,2024-12,2024-W50,Saturday,266.76,53.35,0.0,213.41,15,9.9,12.2,0.91,2,21.56,14.23,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-15,2024-12,2024-W50,Sunday,241.34,48.27,0.0,193.07,9,6.3,8.3,0.73,0,30.65,21.45,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-16,2024-12,2024-W51,Monday,195.35,39.07,13.8,170.08,10,7.1,8.7,0.76,2,23.95,17.01,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-17,2024-12,2024-W51,Tuesday,171.73,34.35,11.66,149.04,10,7.9,9.8,0.81,0,18.87,14.9,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-18,2024-12,2024-W51,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-19,2024-12,2024-W51,Thursday,212.13,42.43,0.0,169.7,15,6.2,6.8,0.8,2,27.37,11.31,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-20,2024-12,2024-W51,Friday,251.9,50.38,0.0,201.52,9,8.3,9.9,0.88,1,24.28,22.39,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-21,2024-12,2024-W51,Saturday,266.84,53.37,0.0,213.47,10,8.4,10.2,0.94,2,25.41,21.35,SGD,False,,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-22,2024-12,2024-W51,Sunday,290.01,58.0,0.0,232.01,21,11.8,13.1,0.83,2,19.66,11.05,SGD,False,Year-End Peak,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-23,2024-12,2024-W52,Monday,206.27,41.25,0.0,165.02,15,8.2,9.9,0.87,3,20.12,11.0,SGD,False,Year-End Peak,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-24,2024-12,2024-W52,Tuesday,245.59,49.12,18.45,214.92,22,6.0,7.6,0.79,0,35.82,9.77,SGD,False,Year-End Peak,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-25,2024-12,2024-W52,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,Year-End Peak,rest_day
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-26,2024-12,2024-W52,Thursday,273.39,54.68,0.0,218.71,15,7.4,8.1,0.84,1,29.56,14.58,SGD,False,Year-End Peak,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-27,2024-12,2024-W52,Friday,171.06,34.21,11.96,148.81,8,6.9,7.8,0.82,3,21.57,18.6,SGD,False,Year-End Peak,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-28,2024-12,2024-W52,Saturday,153.66,30.73,0.0,122.93,12,9.7,12.5,0.92,0,12.67,10.24,SGD,False,Year-End Peak,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-29,2024-12,2024-W52,Sunday,258.49,51.7,0.0,206.79,15,11.1,14.8,0.78,0,18.63,13.79,SGD,False,Year-End Peak,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-30,2024-12,2025-W01,Monday,242.04,48.41,0.0,193.63,19,9.6,10.7,0.73,2,20.17,10.19,SGD,False,Year-End Peak,
drv_siti_sg_10,Siti Rahman,firefighter,M,2024-12-31,2024-12,2025-W01,Tuesday,203.46,40.69,0.0,162.77,18,6.9,9.3,0.77,2,23.59,9.04,SGD,False,Year-End Peak,
drv_siti_sg_10,Siti Rahman,firefighter,M,2025-01-01,2025-01,2025-W01,Wednesday,0,0,0,0,0,0,0,0,0,0,0,SGD,True,Year-End Peak,rest_day
