driver_id,driver_name,persona,iso_week,currency,gross_earnings,platform_fees,incentives,net_earnings,trips,active_hours,days_worked,avg_net_per_day
drv_daniel_sg_15,Daniel Goh,firefighter,2024-W46,SGD,200.52,40.11,6.63,167.04,29,21.0,2,83.52
drv_daniel_sg_15,Daniel Goh,firefighter,2024-W47,SGD,840.2,168.04,20.8,692.96,96,56.7,6,115.49
drv_daniel_sg_15,Daniel Goh,firefighter,2024-W48,SGD,848.73,169.74,21.11,700.1,102,63.8,6,116.68
drv_daniel_sg_15,Daniel Goh,firefighter,2024-W49,SGD,898.07,179.62,31.19,749.64,112,55.1,6,124.94
drv_daniel_sg_15,Daniel Goh,firefighter,2024-W50,SGD,710.91,142.19,14.29,583.01,124,52.8,6,97.17
drv_daniel_sg_15,Daniel Goh,firefighter,2024-W51,SGD,929.54,185.91,17.1,760.73,120,55.5,6,126.79
drv_daniel_sg_15,Daniel Goh,firefighter,2024-W52,SGD,907.53,181.5,0.0,726.03,95,61.6,6,121.0
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W01,SGD,913.78,182.75,17.89,748.92,88,47.4,6,124.82
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W02,SGD,956.73,191.35,6.64,772.02,105,45.8,6,128.67
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W03,SGD,938.25,187.67,15.9,766.48,98,54.6,6,127.75
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W04,SGD,934.15,186.84,23.96,771.27,117,47.1,6,128.55
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W05,SGD,690.19,138.06,7.1,559.23,112,59.4,6,93.2
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W06,SGD,824.08,164.82,0.0,659.26,94,48.4,6,109.88
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W07,SGD,875.51,175.11,19.96,720.36,88,55.9,6,120.06
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W08,SGD,918.06,183.61,27.34,761.79,111,58.5,6,126.97
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W09,SGD,809.5,161.91,13.79,661.38,121,47.2,6,110.23
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W10,SGD,664.47,132.89,35.05,566.63,86,57.3,6,94.44
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W11,SGD,709.64,141.92,10.95,578.67,84,60.4,6,96.44
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W12,SGD,673.57,134.7,7.38,546.25,113,54.8,6,91.04
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W13,SGD,581.85,116.36,15.18,480.67,115,56.7,6,80.11
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W14,SGD,585.61,117.12,11.02,479.51,107,57.0,6,79.92
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W15,SGD,878.61,175.71,16.71,719.61,111,49.3,6,119.94
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W16,SGD,914.06,182.81,7.77,739.02,108,43.2,6,123.17
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W17,SGD,844.23,168.86,27.22,702.59,97,49.9,6,117.1
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W18,SGD,883.2,176.64,10.96,717.52,92,53.7,6,119.59
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W19,SGD,781.19,156.24,33.29,658.24,91,49.5,6,109.71
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W20,SGD,803.48,160.69,5.66,648.45,86,60.3,6,108.08
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W21,SGD,758.94,151.79,10.42,617.57,95,56.4,6,102.93
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W22,SGD,946.02,189.21,0.0,756.81,85,53.2,6,126.14
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W23,SGD,996.15,199.24,32.47,829.38,68,52.2,6,138.23
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W24,SGD,971.63,194.32,11.94,789.25,98,55.6,6,131.54
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W25,SGD,914.49,182.9,31.74,763.33,87,51.4,6,127.22
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W26,SGD,1023.62,204.72,13.48,832.38,95,54.4,6,138.73
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W27,SGD,915.25,183.06,23.96,756.15,90,46.3,6,126.03
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W28,SGD,908.09,181.62,27.57,754.04,96,55.8,6,125.67
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W29,SGD,989.55,197.91,0.0,791.64,91,60.2,6,131.94
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W30,SGD,814.46,162.9,27.53,679.09,105,53.8,6,113.18
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W31,SGD,935.38,187.08,12.33,760.63,81,50.8,6,126.77
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W32,SGD,902.23,180.45,39.23,761.01,90,54.6,6,126.83
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W33,SGD,883.41,176.68,11.69,718.42,92,52.6,6,119.74
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W34,SGD,988.88,197.79,40.73,831.82,105,52.8,6,138.64
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W35,SGD,852.47,170.48,3.96,685.95,104,53.1,6,114.32
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W36,SGD,927.66,185.54,7.36,749.48,96,55.3,6,124.91
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W37,SGD,769.84,153.98,15.16,631.02,114,50.9,6,105.17
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W38,SGD,897.12,179.42,0.0,717.7,106,54.9,6,119.62
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W39,SGD,783.27,156.66,24.35,650.96,113,61.3,6,108.49
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W40,SGD,866.29,173.25,26.64,719.68,93,53.0,6,119.95
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W41,SGD,898.48,179.7,12.37,731.15,105,51.0,6,121.86
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W42,SGD,883.17,176.64,4.55,711.08,100,54.5,6,118.51
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W43,SGD,855.69,171.13,27.35,711.91,88,56.1,6,118.65
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W44,SGD,942.09,188.41,25.13,778.81,96,55.4,6,129.8
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W45,SGD,817.91,163.58,22.91,677.24,111,51.1,6,112.87
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W46,SGD,913.45,182.69,17.37,748.13,90,58.6,6,124.69
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W47,SGD,936.66,187.32,12.05,761.39,78,51.7,6,126.9
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W48,SGD,843.58,168.71,5.74,680.61,91,58.9,6,113.44
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W49,SGD,816.5,163.3,5.4,658.6,105,54.4,6,109.77
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W50,SGD,743.7,148.73,8.85,603.82,64,51.8,6,100.64
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W51,SGD,844.12,168.83,28.3,703.59,98,51.4,6,117.27
drv_daniel_sg_15,Daniel Goh,firefighter,2025-W52,SGD,1082.26,216.45,0.0,865.81,88,54.7,6,144.3
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W01,SGD,800.79,160.16,16.35,656.98,86,53.1,6,109.5
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W02,SGD,714.01,142.82,0.0,571.19,105,50.5,6,95.2
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W03,SGD,670.51,134.1,0.0,536.41,106,64.2,6,89.4
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W04,SGD,820.34,164.08,10.35,666.61,79,57.1,6,111.1
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W05,SGD,966.41,193.29,13.67,786.79,70,57.6,6,131.13
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W06,SGD,653.83,130.77,16.23,539.29,78,51.7,6,89.88
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W07,SGD,111.77,22.35,5.01,94.43,21,11.5,1,94.43
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W08,SGD,321.15,64.22,0.0,256.93,44,25.2,3,85.64
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W09,SGD,657.04,131.41,13.16,538.79,107,55.0,6,89.8
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W10,SGD,554.27,110.86,14.25,457.66,95,51.5,6,76.28
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W11,SGD,712.0,142.4,16.47,586.07,117,58.0,6,97.68
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W12,SGD,458.08,91.61,13.69,380.16,102,51.7,6,63.36
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W13,SGD,742.1,148.41,39.44,633.13,91,57.0,6,105.52
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W14,SGD,856.78,171.35,5.43,690.86,88,48.3,6,115.14
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W15,SGD,869.37,173.87,0.0,695.5,103,51.8,6,115.92
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W16,SGD,808.06,161.61,29.43,675.88,72,48.9,6,112.65
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W17,SGD,880.23,176.06,6.45,710.62,72,55.2,6,118.44
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W18,SGD,895.91,179.19,14.22,730.94,79,58.9,6,121.82
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W19,SGD,849.3,169.84,0.0,679.46,98,50.5,6,113.24
drv_daniel_sg_15,Daniel Goh,firefighter,2026-W20,SGD,500.73,100.14,15.43,416.02,66,38.0,4,104.0
drv_kumar_sg_12,Kumar Raj,grower,2024-W46,SGD,184.07,36.81,0.0,147.26,13,9.8,1,147.26
drv_kumar_sg_12,Kumar Raj,grower,2024-W47,SGD,1816.8,363.37,30.43,1483.86,106,51.4,6,247.31
drv_kumar_sg_12,Kumar Raj,grower,2024-W48,SGD,1707.96,341.58,65.27,1431.65,85,56.3,6,238.61
drv_kumar_sg_12,Kumar Raj,grower,2024-W49,SGD,1740.83,348.16,15.27,1407.94,87,56.5,6,234.66
drv_kumar_sg_12,Kumar Raj,grower,2024-W50,SGD,1759.69,351.94,12.01,1419.76,93,58.6,6,236.63
drv_kumar_sg_12,Kumar Raj,grower,2024-W51,SGD,1846.58,369.31,13.28,1490.55,90,48.1,6,248.42
drv_kumar_sg_12,Kumar Raj,grower,2024-W52,SGD,2161.65,432.34,39.33,1768.64,102,54.8,6,294.77
drv_kumar_sg_12,Kumar Raj,grower,2025-W01,SGD,1971.01,394.2,58.18,1634.99,106,50.3,6,272.5
drv_kumar_sg_12,Kumar Raj,grower,2025-W02,SGD,1616.32,323.25,36.99,1330.06,93,52.3,6,221.68
drv_kumar_sg_12,Kumar Raj,grower,2025-W03,SGD,1549.88,309.97,17.18,1257.09,97,52.9,6,209.51
drv_kumar_sg_12,Kumar Raj,grower,2025-W04,SGD,1659.8,331.97,42.94,1370.77,95,56.2,6,228.46
drv_kumar_sg_12,Kumar Raj,grower,2025-W05,SGD,1225.95,245.2,16.07,996.82,119,48.8,6,166.14
drv_kumar_sg_12,Kumar Raj,grower,2025-W06,SGD,1703.62,340.73,0.0,1362.89,95,59.1,6,227.15
