goal_id,driver_id,driver_name,persona,goal_name,iso_week,weekly_need_sgd,extra_hours_needed,week_net_earned_sgd,week_hours_worked,notional_available_sgd,need_covered,gap_sgd,recommended_windows
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W09,26.67,1.1,764.96,52.69,91.8,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W10,26.67,1.1,625.53,56.0,75.06,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W11,26.67,1.1,643.05,50.8,77.17,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W12,26.67,1.1,526.43,51.01,63.17,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W13,26.67,1.1,861.91,55.1,103.43,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W14,26.67,1.1,923.63,57.29,110.84,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W15,26.67,1.1,982.3,57.39,117.88,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W16,26.67,1.1,891.18,47.31,106.94,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W17,26.67,1.1,983.64,51.09,118.04,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W18,26.67,1.1,848.54,45.8,101.82,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-W19,26.67,1.1,1020.39,60.21,122.45,True,0.0,"Sun 19:00 Marina Bay / Sands (~S$25/hr, x1.82); Fri 19:00 Sentosa / HarbourFront (~S$25/hr, x1.81); Sun 18:00 Marina Bay / Sands (~S$25/hr, x1.79)"
