driver_id,driver_name,persona,earnings_tier,month,currency,gross_income,platform_fees,net_income,total_expense,essential_expense,discretionary_expense,pool_deposits,pool_withdrawals,net_pool_savings,credit_drawn,net_cashflow,savings_rate_pct,expense_to_income_pct,txn_count
drv_daniel_sg_15,Daniel Goh,firefighter,L,2024-11,SGD,1803.04,350.9,1452.14,1104.66,624.85,194.12,0.0,0.0,0.0,0.0,347.48,0.0,76.1,91
drv_daniel_sg_15,Daniel Goh,firefighter,L,2024-12,SGD,3895.93,765.01,3130.92,3115.61,2049.43,525.96,21.61,0.0,21.61,0.0,-6.3,0.7,99.5,201
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-01,SGD,4010.28,789.47,3220.81,3015.42,2104.37,338.22,0.0,0.0,0.0,0.0,205.39,0.0,93.6,185
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-02,SGD,3868.59,683.35,3185.24,3008.74,2058.34,434.99,21.65,0.0,21.65,0.0,154.85,0.7,94.5,170
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-03,SGD,3014.9,586.48,2428.42,3466.25,2506.21,503.14,0.0,0.0,0.0,0.0,-1037.83,0.0,142.7,192
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-04,SGD,3585.95,704.64,2881.31,3057.19,2254.32,309.8,0.0,43.26,-43.26,190.76,-132.62,-1.5,106.1,177
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-05,SGD,3731.25,734.19,2997.06,3274.57,2320.23,459.74,0.0,0.0,0.0,196.98,-277.51,0.0,109.3,182
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-06,SGD,4298.56,839.98,3458.58,4193.37,3374.96,304.05,0.0,0.0,0.0,837.77,-734.79,0.0,121.2,189
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-07,SGD,3974.95,779.74,3195.21,3335.22,2436.1,378.78,7.17,0.0,7.17,201.0,-147.18,0.2,104.4,187
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-08,SGD,4249.37,829.56,3419.81,3353.94,2323.36,448.52,29.76,18.46,11.3,0.0,54.57,0.3,98.1,201
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-09,SGD,3636.33,715.53,2920.8,3167.81,2265.16,419.55,0.0,16.61,-16.61,0.0,-230.4,-0.6,108.5,176
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-10,SGD,3927.72,770.72,3157.0,3282.15,2388.55,376.0,0.0,1.86,-1.86,256.88,-123.29,-0.1,104.0,189
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-11,SGD,3972.14,780.78,3191.36,3045.1,2151.24,394.4,11.08,0.0,11.08,0.0,135.18,0.3,95.4,180
drv_daniel_sg_15,Daniel Goh,firefighter,L,2025-12,SGD,3895.93,770.08,3125.85,2655.66,2037.65,143.69,10.08,0.0,10.08,0.0,460.11,0.3,85.0,179
drv_daniel_sg_15,Daniel Goh,firefighter,L,2026-01,SGD,3462.11,686.57,2775.54,2987.66,2260.72,237.5,0.0,0.0,0.0,0.0,-212.12,0.0,107.6,181
drv_daniel_sg_15,Daniel Goh,firefighter,L,2026-02,SGD,1822.88,356.09,1466.79,2338.9,1723.78,346.34,0.0,0.0,0.0,0.0,-872.11,0.0,159.5,120
drv_daniel_sg_15,Daniel Goh,firefighter,L,2026-03,SGD,2909.71,565.16,2344.55,3397.36,2392.23,528.68,18.29,39.45,-21.16,1143.99,-1031.65,-0.9,144.9,208
drv_daniel_sg_15,Daniel Goh,firefighter,L,2026-04,SGD,3651.13,720.3,2930.83,3241.07,2340.29,423.72,0.0,0.0,0.0,445.97,-310.24,0.0,110.6,178
drv_daniel_sg_15,Daniel Goh,firefighter,L,2026-05,SGD,1859.63,367.65,1491.98,1895.33,1518.89,125.31,0.0,0.0,0.0,72.19,-403.35,0.0,127.0,91
drv_kumar_sg_12,Kumar Raj,grower,H,2024-11,SGD,3804.52,741.76,3062.76,928.11,528.99,39.03,74.72,0.0,74.72,0.0,2059.93,2.4,30.3,101
drv_kumar_sg_12,Kumar Raj,grower,H,2024-12,SGD,8238.57,1631.75,6606.82,2791.82,1727.09,38.27,111.27,0.0,111.27,0.0,3703.73,1.7,42.3,201
drv_kumar_sg_12,Kumar Raj,grower,H,2025-01,SGD,7246.92,1415.11,5831.81,3156.28,2045.69,52.39,168.5,0.0,168.5,0.0,2507.03,2.9,54.1,213
drv_kumar_sg_12,Kumar Raj,grower,H,2025-02,SGD,7097.17,1398.49,5698.68,2851.42,1788.13,85.15,138.42,0.0,138.42,0.0,2708.84,2.4,50.0,188
drv_kumar_sg_12,Kumar Raj,grower,H,2025-03,SGD,7547.46,1487.54,6059.92,3051.91,1953.73,92.27,106.03,0.0,106.03,0.0,2901.98,1.7,50.4,199
