driver_id,driver_name,date,month,movement,bucket,amount,currency,pool_balance_after
drv_siti_sg_10,Siti Rahman,2025-03-21,2025-03,deposit,emergency_fund,8.89,SGD,8.89
drv_siti_sg_10,Siti Rahman,2025-05-09,2025-05,deposit,emergency_fund,7.71,SGD,16.6
drv_siti_sg_10,Siti Rahman,2025-06-27,2025-06,deposit,goal_pocket,11.23,SGD,27.83
drv_siti_sg_10,Siti Rahman,2025-07-04,2025-07,deposit,liquid_buffer,12.92,SGD,40.75
drv_siti_sg_10,Siti Rahman,2025-10-31,2025-10,deposit,goal_pocket,17.52,SGD,58.27
drv_siti_sg_10,Siti Rahman,2025-12-05,2025-12,deposit,goal_pocket,17.82,SGD,76.09
drv_mei_sg_11,Mei Lin Tan,2025-02-07,2025-02,deposit,emergency_fund,17.5,SGD,17.5
drv_mei_sg_11,Mei Lin Tan,2025-02-14,2025-02,deposit,liquid_buffer,17.79,SGD,35.29
drv_mei_sg_11,Mei Lin Tan,2025-02-21,2025-02,deposit,emergency_fund,13.48,SGD,48.77
drv_mei_sg_11,Mei Lin Tan,2025-10-10,2025-10,deposit,goal_pocket,13.11,SGD,61.88
drv_mei_sg_11,Mei Lin Tan,2025-11-14,2025-11,deposit,goal_pocket,10.37,SGD,72.25
drv_mei_sg_11,Mei Lin Tan,2025-11-21,2025-11,deposit,goal_pocket,21.97,SGD,94.22
drv_mei_sg_11,Mei Lin Tan,2026-05-15,2026-05,deposit,liquid_buffer,19.11,SGD,113.33
drv_kumar_sg_12,Kumar Raj,2024-11-22,2024-11,deposit,emergency_fund,42.1,SGD,42.1
drv_kumar_sg_12,Kumar Raj,2024-11-29,2024-11,deposit,goal_pocket,32.62,SGD,74.72
drv_kumar_sg_12,Kumar Raj,2024-12-06,2024-12,deposit,emergency_fund,33.67,SGD,108.39
drv_kumar_sg_12,Kumar Raj,2024-12-20,2024-12,deposit,liquid_buffer,51.48,SGD,159.87
drv_kumar_sg_12,Kumar Raj,2024-12-27,2024-12,deposit,goal_pocket,26.12,SGD,185.99
drv_kumar_sg_12,Kumar Raj,2025-01-03,2025-01,deposit,goal_pocket,49.04,SGD,235.03
drv_kumar_sg_12,Kumar Raj,2025-01-10,2025-01,deposit,goal_pocket,35.62,SGD,270.65
drv_kumar_sg_12,Kumar Raj,2025-01-17,2025-01,deposit,emergency_fund,16.43,SGD,287.08
drv_kumar_sg_12,Kumar Raj,2025-01-24,2025-01,deposit,emergency_fund,44.72,SGD,331.8
drv_kumar_sg_12,Kumar Raj,2025-01-31,2025-01,deposit,liquid_buffer,22.69,SGD,354.49
drv_kumar_sg_12,Kumar Raj,2025-02-07,2025-02,deposit,goal_pocket,45.04,SGD,399.53
drv_kumar_sg_12,Kumar Raj,2025-02-14,2025-02,deposit,goal_pocket,27.1,SGD,426.63
drv_kumar_sg_12,Kumar Raj,2025-02-21,2025-02,deposit,goal_pocket,22.76,SGD,449.39
