txn_id,txn_seq,bank_reference,driver_id,driver_name,persona,earnings_tier,market,country,city,posted_at,value_date,timezone,date,year,month,iso_week,day_of_week,is_weekend,hour,time_of_day,amount,currency,direction,running_balance,category,subcategory,merchant_name,merchant_category_code,payment_channel,payment_rail,is_recurring,is_income,is_internal_movement,is_essential,is_discretionary,categorisation_confidence,needs_review,festival_window,anomaly_flag,geo_lat,geo_lon,device,app_version,reconciled,settlement_status,fx_rate_to_usd,note,sms_text
5ed347ab-5b4b-4e2a-a353-5f7851a24d6c,2500,REF58A7CC215A,drv_daniel_sg_15,Daniel Goh,firefighter,L,SG,Singapore,Singapore,2026-01-01 09:09:00,2026-01-01,+08:00,2026-01-01,2026,2026-01,2026-W01,Thursday,False,9,morning,682.02,SGD,debit,587.03,HOUSING,housing,Whole-Unit Rental,6513,auto_debit,direct_debit,True,False,False,True,False,0.75,False,Year-End Peak,,1.36782,103.80654,Android 13,5.1.3,True,settled,0.74,,DBS: SGD 682.02 - Whole-Unit Rental
1074f6f2-3ef5-4b84-80c7-862bab5cbb85,2501,REF466A873CA9,drv_daniel_sg_15,Daniel Goh,firefighter,L,SG,Singapore,Singapore,2026-01-02 22:00:00,2026-01-02,+08:00,2026-01-02,2026,2026-01,2026-W01,Friday,False,22,night,217.69,SGD,credit,804.72,INCOME_GRAB,ride,Grab,4121,grab_payout,platform,False,True,False,False,False,0.86,False,Year-End Peak,,1.44338,103.78537,Android 13,5.1.3,True,settled,0.74,,DBS: SGD 217.69 received from Grab
6442efbe-91d9-4516-9527-c78b36ec13a7,2502,REF9A5C651003,drv_daniel_sg_15,Daniel Goh,firefighter,L,SG,Singapore,Singapore,2026-01-02 22:05:00,2026-01-02,+08:00,2026-01-02,2026,2026-01,2026-W01,Friday,False,22,night,43.54,SGD,debit,761.18,PLATFORM_DEDUCT,commission,Grab Platform Fee,4121,grab_payout,platform,False,False,False,False,False,0.86,False,Year-End Peak,,1.41317,103.82174,Android 13,5.1.3,True,settled,0.74,,DBS: SGD 43.54 - Grab Platform Fee
a4722490-4e8a-465e-819c-c2eaffe03b6f,2503,REFD8A3A57B37,drv_daniel_sg_15,Daniel Goh,firefighter,L,SG,Singapore,Singapore,2026-01-02 22:06:00,2026-01-02,+08:00,2026-01-02,2026,2026-01,2026-W01,Friday,False,22,night,10.27,SGD,credit,771.45,INCOME_GRAB,incentive,Grab Incentive,4121,grab_payout,platform,False,True,False,False,False,0.91,False,Year-End Peak,,1.38648,103.75936,Android 13,5.1.3,True,settled,0.74,,DBS: SGD 10.27 received from Grab
0444e392-aa12-448c-8377-8868a41e2a4a,2504,REFB3BF719F70,drv_daniel_sg_15,Daniel Goh,firefighter,L,SG,Singapore,Singapore,2026-01-02 07:40:00,2026-01-02,+08:00,2026-01-02,2026,2026-01,2026-W01,Friday,False,7,morning,15.1,SGD,debit,756.35,VEHICLE_FUEL,cng,Sinopec,5541,qr_pay,qr,False,False,False,True,False,0.83,False,Year-End Peak,,1.42493,103.79001,Android 13,5.1.3,True,settled,0.74,,PayLah: SGD 15.10 paid to Sinopec
915f0be6-c84f-4aee-bf88-a899ab13704b,2505,REF1222478E7E,drv_daniel_sg_15,Daniel Goh,firefighter,L,SG,Singapore,Singapore,2026-01-02 21:32:00,2026-01-02,+08:00,2026-01-02,2026,2026-01,2026-W01,Friday,False,21,night,7.62,SGD,debit,748.73,FOOD_OUT,coffee,Hawker Centre,5814,ewallet,wallet,False,False,False,False,False,0.86,False,Year-End Peak,,1.35433,103.78589,Android 13,5.1.3,True,settled,0.74,,PayLah: SGD 7.62 paid to Hawker Centre
0fda7360-0ebc-48fd-aeb5-565aaeb223f6,2506,REF5AE9D2DE37,drv_daniel_sg_15,Daniel Goh,firefighter,L,SG,Singapore,Singapore,2026-01-02 12:30:00,2026-01-02,+08:00,2026-01-02,2026,2026-01,2026-W01,Friday,False,12,afternoon,13.58,SGD,debit,735.15,RELIGIOUS_GIVING,weekly,Temple Offering,8661,qr_pay,qr,False,False,False,False,False,0.96,False,Year-End Peak,,1.43854,103.72568,Android 13,5.1.3,True,settled,0.74,,PayLah: SGD 13.58 paid to Temple Offering
01a14dc6-2c3c-4e3c-b5ba-ac2cca382829,2507,REF41C849695A,drv_daniel_sg_15,Daniel Goh,firefighter,L,SG,Singapore,Singapore,2026-01-03 22:00:00,2026-01-03,+08:00,2026-01-03,2026,2026-01,2026-W01,Saturday,True,22,night,158.58,SGD,credit,893.73,INCOME_GRAB,ride,Grab,4121,grab_payout,platform,False,True,False,False,False,0.79,False,,,1.34805,103.82014,Android 13,5.1.3,True,settled,0.74,,DBS: SGD 158.58 received from Grab
97c94ece-02c2-44a4-813b-58816c134291,2508,REFC1533AB8AF,drv_daniel_sg_15,Daniel Goh,firefighter,L,SG,Singapore,Singapore,2026-01-03 22:05:00,2026-01-03,+08:00,2026-01-03,2026,2026-01,2026-W01,Saturday,True,22,night,31.72,SGD,debit,862.01,PLATFORM_DEDUCT,commission,Grab Platform Fee,4121,grab_payout,platform,False,False,False,False,False,0.85,False,,,1.40242,103.8346,Android 13,5.1.3,True,settled,0.74,,DBS: SGD 31.72 - Grab Platform Fee
f652492c-0d51-440c-a7f4-ba7b96e41171,2509,REF2A162E312E,drv_daniel_sg_15,Daniel Goh,firefighter,L,SG,Singapore,Singapore,2026-01-03 07:05:00,2026-01-03,+08:00,2026-01-03,2026,2026-01,2026-W01,Saturday,True,7,morning,25.13,SGD,debit,836.88,VEHICLE_FUEL,petrol,Esso,5541,cash,cash,False,False,False,True,False,0.63,True,,,1.45902,103.79794,Android 13,5.1.3,True,settled,0.74,,DBS: SGD 25.13 - Esso
